"Approval Date","Drug Name","Submission","Active Ingredients","Company","Submission Classification *","Submission Status"
"06/01/2016","CEREBYXNDA   #020450","SUPPL-30","FOSPHENYTOIN SODIUM","PARKE DAVIS","Manufacturing (CMC)","Approval"
"06/01/2016","ZYBANNDA   #020711","SUPPL-44","BUPROPION HYDROCHLORIDE","GLAXOSMITHKLINE","Labeling","Approval"
"06/01/2016","HECTOROLNDA   #021027","SUPPL-26","DOXERCALCIFEROL","SANOFI","Labeling","Approval"
"06/01/2016","TARCEVANDA   #021743","SUPPL-27","ERLOTINIB HYDROCHLORIDE","OSI PHARMS","Efficacy","Approval"
"06/01/2016","ZEGERIDNDA   #021849","SUPPL-11","OMEPRAZOLE; SODIUM BICARBONATE","SALIX","Manufacturing (CMC)","Approval"
"06/01/2016","COARTEMNDA   #022268","SUPPL-16","ARTEMETHER; LUMEFANTRINE","NOVARTIS","Manufacturing (CMC)","Approval"
"06/01/2016","CLINDAMYCIN PHOSPHATEANDA  #062811","SUPPL-18","CLINDAMYCIN PHOSPHATE","G AND W LABS INC","Labeling","Approval"
"06/01/2016","CLINDAMYCIN PHOSPHATEANDA  #062811","SUPPL-19","CLINDAMYCIN PHOSPHATE","G AND W LABS INC","Labeling","Approval"
"06/01/2016","CLINDAMYCIN PHOSPHATEANDA  #062811","SUPPL-20","CLINDAMYCIN PHOSPHATE","G AND W LABS INC","Labeling","Approval"
"06/01/2016","CARVEDILOLANDA  #077346","SUPPL-29","CARVEDILOL","SUN PHARM INDS INC","Labeling","Approval"
"06/01/2016","CARVEDILOLANDA  #077346","SUPPL-30","CARVEDILOL","SUN PHARM INDS INC","Labeling","Approval"
"06/01/2016","BUTALBITAL, ACETAMINOPHEN AND CAFFEINEANDA  #089718","SUPPL-17","ACETAMINOPHEN; BUTALBITAL; CAFFEINE","HIKMA PHARMS","Labeling","Approval"
"06/01/2016","LANSOPRAZOLEANDA  #203187","ORIG-1","LANSOPRAZOLE","MYLAN","","Approval"
"06/01/2016","BASAGLARBLA   #205692","SUPPL-5","INSULIN GLARGINE","ELI LILLY AND CO","","Approval"
"06/01/2016","NETSPOTNDA   #208547","ORIG-1","GALLIUM DOTATATE GA-68","AAA USA INC","Type 1 - New Molecular Entity","Approval"
"06/02/2016","ALLEGRA-D 12 HOUR ALLERGY AND CONGESTIONNDA   #020786","SUPPL-35","FEXOFENADINE HYDROCHLORIDE; PSEUDOEPHEDRINE HYDROCHLORIDE","SANOFI AVENTIS US","Labeling","Approval"
"06/02/2016","ALLEGRA-D 24 HOUR ALLERGY AND CONGESTIONNDA   #021704","SUPPL-18","FEXOFENADINE HYDROCHLORIDE; PSEUDOEPHEDRINE HYDROCHLORIDE","SANOFI AVENTIS US","Labeling","Approval"
