"Approval Date","Drug Name","Submission","Active Ingredients","Company","Submission Classification *","Submission Status"
"02/01/2016","CYKLOKAPRONNDA   #019281","SUPPL-37","TRANEXAMIC ACID","PFIZER","Manufacturing (CMC)","Approval"
"02/01/2016","INVIRASENDA   #020628","SUPPL-44","SAQUINAVIR MESYLATE","HOFFMANN LA ROCHE","Manufacturing (CMC)","Approval"
"02/01/2016","EMENDNDA   #022023","SUPPL-6","FOSAPREPITANT DIMEGLUMINE","MERCK AND CO INC","Efficacy","Approval"
"02/01/2016","PRAVASTATIN SODIUMANDA  #076714","SUPPL-8","PRAVASTATIN SODIUM","DR REDDYS LABS INC","Labeling","Approval"
"02/01/2016","SERTRALINE HYDROCHLORIDEANDA  #077162","SUPPL-5","SERTRALINE HYDROCHLORIDE","CHARTWELL MOLECULAR","Labeling","Approval"
"02/01/2016","CEFEPIME HYDROCHLORIDEANDA  #203704","ORIG-1","CEFEPIME HYDROCHLORIDE","QILU","","Approval"
"02/01/2016","LEVETIRACETAMANDA  #204312","ORIG-1","LEVETIRACETAM","EUGIA PHARMA","","Approval"
"02/01/2016","LIDOCAINEANDA  #205318","ORIG-1","LIDOCAINE","TELIGENT","","Approval"
"02/01/2016","SAXENDANDA   #206321","SUPPL-2","LIRAGLUTIDE RECOMBINANT","NOVO","REMS","Approval"
"02/01/2016","CELECOXIBANDA  #206827","ORIG-1","CELECOXIB","AUROBINDO PHARMA LTD","","Approval"
"02/01/2016","SPRITAMNDA   #207958","SUPPL-2","LEVETIRACETAM","APRECIA PHARMS","Labeling","Approval"
"02/02/2016","MATULANENDA   #016785","SUPPL-39","PROCARBAZINE HYDROCHLORIDE","LEADIANT BIOSCI INC","Manufacturing (CMC)","Approval"
"02/02/2016","CYCLOSETNDA   #020866","SUPPL-9","BROMOCRIPTINE MESYLATE","VEROSCIENCE","Labeling","Approval"
"02/02/2016","FLUORESCITENDA   #021980","SUPPL-4","FLUORESCEIN SODIUM","ALCON LABS INC","Labeling","Approval"
"02/02/2016","DEXILANTNDA   #022287","SUPPL-20","DEXLANSOPRAZOLE","TAKEDA PHARMS USA","Labeling","Approval"
"02/02/2016","LISINOPRILANDA  #076164","SUPPL-13","LISINOPRIL","PRINSTON INC","Labeling","Approval"
"02/02/2016","LISINOPRILANDA  #076164","SUPPL-14","LISINOPRIL","PRINSTON INC","Labeling","Approval"
"02/02/2016","VENLAFAXINE HYDROCHLORIDEANDA  #077166","SUPPL-15","VENLAFAXINE HYDROCHLORIDE","MYLAN","Labeling","Approval"
"02/02/2016","IMIPRAMINE HYDROCHLORIDEANDA  #081048","SUPPL-33","IMIPRAMINE HYDROCHLORIDE","SUN PHARM INDUSTRIES","Labeling","Approval"
