"Approval Date","Drug Name","Submission","Active Ingredients","Company","Submission Classification *","Submission Status"
"07/01/2016","KEPIVANCEBLA   #125103","SUPPL-171","PALIFERMIN","BIOVITRUM AB","","Approval"
"07/01/2016","KEPIVANCEBLA   #125103","SUPPL-172","PALIFERMIN","BIOVITRUM AB","","Approval"
"07/01/2016","SYNDROSNDA   #205525","ORIG-1","DRONABINOL","BENUVIA","Type 3 - New Dosage Form","Approval"
"07/01/2016","EVOTAZNDA   #206353","SUPPL-2","ATAZANAVIR SULFATE; COBICISTAT","BRISTOL-MYERS SQUIBB","Labeling","Approval"
"07/01/2016","TOBRAMYCIN SULFATEANDA  #206965","ORIG-1","TOBRAMYCIN SULFATE","BAXTER HLTHCARE CORP","","Approval"
"07/05/2016","PRAVACHOLNDA   #019898","SUPPL-66","PRAVASTATIN SODIUM","BRISTOL MYERS SQUIBB","Labeling","Approval"
"07/05/2016","HABITROLNDA   #020076","SUPPL-43","NICOTINE","DR REDDYS LABS SA","Labeling","Approval"
"07/05/2016","PROPOFOLANDA  #075102","SUPPL-35","PROPOFOL","SAGENT PHARMS INC","Labeling","Approval"
"07/05/2016","HYDROCODONE BITARTRATE AND ACETAMINOPHENANDA  #205001","ORIG-1","ACETAMINOPHEN; HYDROCODONE BITARTRATE","STRIDES PHARMA","","Approval"
"07/05/2016","METHENAMINE HIPPURATEANDA  #205661","ORIG-1","METHENAMINE HIPPURATE","AUROBINDO PHARMA LTD","","Approval"
"07/06/2016","HABITROLNDA   #020076","SUPPL-42","NICOTINE","DR REDDYS LABS SA","Labeling","Approval"
"07/06/2016","CUBICINNDA   #021572","SUPPL-52","DAPTOMYCIN","CUBIST PHARMS LLC","Labeling","Approval"
"07/06/2016","CUBICIN RFNDA   #021572","SUPPL-52","DAPTOMYCIN","CUBIST PHARMS LLC","Labeling","Approval"
"07/06/2016","LORAZEPAMANDA  #079244","SUPPL-5","LORAZEPAM","LANNETT CO INC","Labeling","Approval"
"07/06/2016","XOLAIRBLA   #103976","SUPPL-5225","OMALIZUMAB","GENENTECH","","Approval"
"07/06/2016","LEVONORGESTRELANDA  #202246","SUPPL-1","LEVONORGESTREL","ALVOGEN","Labeling","Approval"
"07/06/2016","LEVONORGESTRELANDA  #202246","SUPPL-3","LEVONORGESTREL","ALVOGEN","Labeling","Approval"
"07/06/2016","GRANISETRON HYDROCHLORIDEANDA  #204238","ORIG-1","GRANISETRON HYDROCHLORIDE","EUGIA PHARMA","","Approval"
"07/06/2016","NATEGLINIDEANDA  #205248","ORIG-1","NATEGLINIDE","ZYDUS PHARMS","","Approval"
"07/06/2016","TRI-MILIANDA  #205441","ORIG-1","ETHINYL ESTRADIOL; NORGESTIMATE","AUROBINDO PHARMA LTD","","Approval"
"07/06/2016","ELTROMBOPAGANDA  #206788","ORIG-1","ELTROMBOPAG","HETERO LABS LTD V","","Tentative Approval"
"07/07/2016","CEREZYMEBLA   #020367","SUPPL-99","IMIGLUCERASE","GENZYME","","Approval"
"07/07/2016","SUBUTEXNDA   #020732","SUPPL-13","BUPRENORPHINE HYDROCHLORIDE","INDIVIOR INC","REMS","Approval"
"07/07/2016","SUBOXONENDA   #020733","SUPPL-17","BUPRENORPHINE HYDROCHLORIDE; NALOXONE HYDROCHLORIDE","INDIVIOR INC","REMS","Approval"
"07/07/2016","CUBICINNDA   #021572","SUPPL-53","DAPTOMYCIN","CUBIST PHARMS LLC","Labeling","Approval"
"07/07/2016","CUBICIN RFNDA   #021572","SUPPL-53","DAPTOMYCIN","CUBIST PHARMS LLC","Labeling","Approval"
"07/07/2016","INTUNIVNDA   #022037","SUPPL-13","GUANFACINE HYDROCHLORIDE","TAKEDA PHARMS USA","Labeling","Approval"
"07/07/2016","SUBOXONENDA   #022410","SUPPL-25","BUPRENORPHINE HYDROCHLORIDE; NALOXONE HYDROCHLORIDE","INDIVIOR INC","REMS","Approval"
