"Approval Date","Drug Name","Submission","Active Ingredients","Company","Submission Classification *","Submission Status"
"01/03/2016","NAFCILLIN SODIUMANDA  #062732","SUPPL-12","NAFCILLIN SODIUM","SANDOZ","Labeling","Approval"
"01/03/2016","NAFCILLIN SODIUMANDA  #062732","SUPPL-15","NAFCILLIN SODIUM","SANDOZ","Labeling","Approval"
"01/03/2016","SULFACETAMIDE SODIUMANDA  #077015","SUPPL-2","SULFACETAMIDE SODIUM","FOUGERA PHARMS","Labeling","Approval"
"01/03/2016","BUDESONIDEANDA  #090410","SUPPL-7","BUDESONIDE","MYLAN","Labeling","Approval"
"01/03/2016","LEVETIRACETAMANDA  #091430","SUPPL-3","LEVETIRACETAM","TEVA PHARMS","Labeling","Approval"
"01/03/2016","LEVETIRACETAMANDA  #091430","SUPPL-4","LEVETIRACETAM","TEVA PHARMS","Labeling","Approval"
"01/03/2016","LEVETIRACETAMANDA  #091430","SUPPL-5","LEVETIRACETAM","TEVA PHARMS","Labeling","Approval"
"01/04/2016","NAFCILLIN SODIUMANDA  #062527","SUPPL-24","NAFCILLIN SODIUM","SANDOZ","Labeling","Approval"
"01/04/2016","NAFCILLIN SODIUMANDA  #062527","SUPPL-25","NAFCILLIN SODIUM","SANDOZ","Labeling","Approval"
"01/04/2016","NAFCILLIN SODIUMANDA  #062527","SUPPL-26","NAFCILLIN SODIUM","SANDOZ","Manufacturing (CMC)","Approval"
"01/04/2016","NAFCILLIN SODIUMANDA  #062527","SUPPL-27","NAFCILLIN SODIUM","SANDOZ","Labeling","Approval"
"01/04/2016","NAFCILLIN SODIUMANDA  #062527","SUPPL-28","NAFCILLIN SODIUM","SANDOZ","Labeling","Approval"
"01/04/2016","CYCLOSPORINEANDA  #065017","SUPPL-21","CYCLOSPORINE","SANDOZ","Manufacturing (CMC)","Approval"
"01/04/2016","CYCLOSPORINEANDA  #065017","SUPPL-22","CYCLOSPORINE","SANDOZ","Labeling","Approval"
"01/04/2016","TEMAZEPAMANDA  #070920","SUPPL-28","TEMAZEPAM","MYLAN","Labeling","Approval"
"01/04/2016","CLOBETASOL PROPIONATEANDA  #074089","SUPPL-24","CLOBETASOL PROPIONATE","COSETTE","Manufacturing (CMC)","Approval"
"01/04/2016","TRIAZOLAMANDA  #074224","SUPPL-6","TRIAZOLAM","HIKMA","Labeling","Approval"
"01/04/2016","GABAPENTINANDA  #075694","SUPPL-30","GABAPENTIN","ACTAVIS ELIZABETH","Manufacturing (CMC)","Approval"
"01/04/2016","GABAPENTINANDA  #075694","SUPPL-34","GABAPENTIN","ACTAVIS ELIZABETH","Labeling","Approval"
"01/04/2016","GABAPENTINANDA  #075694","SUPPL-37","GABAPENTIN","ACTAVIS ELIZABETH","Labeling","Approval"
"01/04/2016","LISINOPRILANDA  #075743","SUPPL-24","LISINOPRIL","PRINSTON INC","Labeling","Approval"
"01/04/2016","LISINOPRILANDA  #075743","SUPPL-29","LISINOPRIL","PRINSTON INC","Labeling","Approval"
"01/04/2016","BUPROPION HYDROCHLORIDEANDA  #075914","SUPPL-25","BUPROPION HYDROCHLORIDE","IMPAX LABS","Labeling","Approval"
"01/04/2016","BENAZEPRIL HYDROCHLORIDEANDA  #076402","SUPPL-17","BENAZEPRIL HYDROCHLORIDE","CHARTWELL RX","Labeling","Approval"
"01/04/2016","BENAZEPRIL HYDROCHLORIDEANDA  #076402","SUPPL-18","BENAZEPRIL HYDROCHLORIDE","CHARTWELL RX","Labeling","Approval"
"01/04/2016","CARBIDOPA AND LEVODOPAANDA  #077120","SUPPL-4","CARBIDOPA; LEVODOPA","APOTEX INC","Labeling","Approval"
"01/04/2016","AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDEANDA  #077179","SUPPL-22","AMLODIPINE BESYLATE; BENAZEPRIL HYDROCHLORIDE","TEVA PHARMS","Labeling","Approval"
"01/04/2016","AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDEANDA  #077179","SUPPL-23","AMLODIPINE BESYLATE; BENAZEPRIL HYDROCHLORIDE","TEVA PHARMS","Labeling","Approval"
"01/04/2016","AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDEANDA  #077179","SUPPL-24","AMLODIPINE BESYLATE; BENAZEPRIL HYDROCHLORIDE","TEVA PHARMS","Labeling","Approval"
"01/04/2016","AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDEANDA  #077183","SUPPL-11","AMLODIPINE BESYLATE; BENAZEPRIL HYDROCHLORIDE","DR REDDYS LABS INC","Labeling","Approval"
"01/04/2016","AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDEANDA  #077183","SUPPL-12","AMLODIPINE BESYLATE; BENAZEPRIL HYDROCHLORIDE","DR REDDYS LABS INC","Labeling","Approval"
"01/04/2016","AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDEANDA  #077375","SUPPL-6","AMLODIPINE BESYLATE; BENAZEPRIL HYDROCHLORIDE","MYLAN","Labeling","Approval"
"01/04/2016","AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDEANDA  #077375","SUPPL-8","AMLODIPINE BESYLATE; BENAZEPRIL HYDROCHLORIDE","MYLAN","Labeling","Approval"
"01/04/2016","AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDEANDA  #077375","SUPPL-10","AMLODIPINE BESYLATE; BENAZEPRIL HYDROCHLORIDE","MYLAN","Labeling","Approval"
"01/04/2016","VALSARTANANDA  #077530","ORIG-1","VALSARTAN","IVAX PHARMS","","Approval"
"01/04/2016","QUETIAPINE FUMARATEANDA  #077745","SUPPL-5","QUETIAPINE FUMARATE","TEVA PHARMS","Labeling","Approval"
"01/04/2016","AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDEANDA  #079047","SUPPL-5","AMLODIPINE BESYLATE; BENAZEPRIL HYDROCHLORIDE","MYLAN","Labeling","Approval"
"01/04/2016","AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDEANDA  #079047","SUPPL-7","AMLODIPINE BESYLATE; BENAZEPRIL HYDROCHLORIDE","MYLAN","Labeling","Approval"
