"Approval Date","Drug Name","Submission","Active Ingredients","Company","Submission Classification *","Submission Status"
"05/02/2016","DIFLUCANNDA   #019949","SUPPL-62","FLUCONAZOLE","PFIZER","Manufacturing (CMC)","Approval"
"05/02/2016","MEGACENDA   #020264","SUPPL-20","MEGESTROL ACETATE","BRISTOL MYERS SQUIBB","Manufacturing (CMC)","Approval"
"05/02/2016","DIAZEPAMANDA  #070928","SUPPL-16","DIAZEPAM","HIKMA","Labeling","Approval"
"05/02/2016","DIAZEPAM INTENSOLANDA  #071415","SUPPL-14","DIAZEPAM","HIKMA","Labeling","Approval"
"05/02/2016","DICLOFENAC POTASSIUMANDA  #202964","ORIG-1","DICLOFENAC POTASSIUM","PAR FORM","","Approval"
"05/02/2016","TRINTELLIXNDA   #204447","SUPPL-7","VORTIOXETINE HYDROBROMIDE","TAKEDA PHARMS USA","Labeling","Approval"
"05/02/2016","AURYXIANDA   #205874","SUPPL-8","FERRIC CITRATE","KERYX BIOPHARMS","Manufacturing (CMC)","Approval"
"05/03/2016","GANIRELIX ACETATENDA   #021057","SUPPL-15","GANIRELIX ACETATE","ORGANON USA INC","Manufacturing (CMC)","Approval"
"05/03/2016","JENLOGANDA   #022331","SUPPL-18","CLONIDINE HYDROCHLORIDE","CONCORDIA PHARMS INC","Manufacturing (CMC)","Approval"
"05/03/2016","KAPVAYNDA   #022331","SUPPL-18","CLONIDINE HYDROCHLORIDE","CONCORDIA PHARMS INC","Manufacturing (CMC)","Approval"
"05/03/2016","BACLOFENANDA  #091193","ORIG-1","BACLOFEN","EMERALD INTL LTD","","Approval"
"05/03/2016","ELIQUISNDA   #202155","SUPPL-13","APIXABAN","BRISTOL MYERS SQUIBB","Manufacturing (CMC)","Approval"
"05/03/2016","IRINOTECAN HYDROCHLORIDEANDA  #203380","ORIG-1","IRINOTECAN HYDROCHLORIDE","QILU","","Approval"
"05/03/2016","BELSOMRANDA   #204569","SUPPL-3","SUVOREXANT","MERCK SHARP DOHME","Manufacturing (CMC)","Approval"
"05/03/2016","NITROFURANTOINANDA  #205180","ORIG-1","NITROFURANTOIN","ACTAVIS MID ATLANTIC","","Approval"
"05/04/2016","NICODERM CQNDA   #020165","SUPPL-38","NICOTINE","SANOFI AVENTIS US","Labeling","Approval"
"05/04/2016","PREMPHASE 14/14NDA   #020527","SUPPL-63","ESTROGENS, CONJUGATED; MEDROXYPROGESTERONE ACETATE","WYETH PHARMS","Manufacturing (CMC)","Approval"
"05/04/2016","PREMPRONDA   #020527","SUPPL-63","ESTROGENS, CONJUGATED; MEDROXYPROGESTERONE ACETATE","WYETH PHARMS","Manufacturing (CMC)","Approval"
"05/04/2016","INSPRANDA   #021437","SUPPL-13","EPLERENONE","UPJOHN","Labeling","Approval"
"05/05/2016","BETOPTICNDA   #019270","SUPPL-36","BETAXOLOL HYDROCHLORIDE","SANDOZ INC","Manufacturing (CMC)","Approval"
"05/05/2016","BETOPTICNDA   #019270","SUPPL-37","BETAXOLOL HYDROCHLORIDE","SANDOZ INC","Manufacturing (CMC)","Approval"
"05/05/2016","TYLENOLNDA   #019872","SUPPL-43","ACETAMINOPHEN","J AND J CONSUMER INC","Manufacturing (CMC)","Approval"
"05/05/2016","LOTENSIN HCTNDA   #020033","SUPPL-55","BENAZEPRIL HYDROCHLORIDE; HYDROCHLOROTHIAZIDE","VALIDUS PHARMS","Manufacturing (CMC)","Approval"
"05/05/2016","PEPCID ACNDA   #020325","SUPPL-29","FAMOTIDINE","J AND J CONSUMER INC","Manufacturing (CMC)","Approval"
"05/05/2016","CAVERJECTNDA   #020379","SUPPL-30","ALPROSTADIL","PFIZER","Labeling","Approval"
"05/05/2016","CAVERJECT IMPULSENDA   #021212","SUPPL-14","ALPROSTADIL","PFIZER","Labeling","Approval"
"05/05/2016","ALPHAGAN PNDA   #021770","SUPPL-10","BRIMONIDINE TARTRATE","ALLERGAN","Manufacturing (CMC)","Approval"
"05/05/2016","ASACOL HDNDA   #021830","SUPPL-10","MESALAMINE","APIL","Labeling","Approval"
"05/05/2016","VIMPATNDA   #022253","SUPPL-32","LACOSAMIDE","UCB INC","Manufacturing (CMC)","Approval"
"05/05/2016","FLUOXETINE HYDROCHLORIDEANDA  #076287","SUPPL-7","FLUOXETINE HYDROCHLORIDE","ANI PHARMS","Labeling","Approval"
"05/05/2016","CIPROFLOXACINANDA  #077245","SUPPL-17","CIPROFLOXACIN","HOSPIRA","Labeling","Approval"
"05/05/2016","FLUOXETINE HYDROCHLORIDEANDA  #077469","SUPPL-12","FLUOXETINE HYDROCHLORIDE","SANDOZ","Labeling","Approval"
"05/05/2016","CIPROFLOXACIN IN DEXTROSE 5% IN PLASTIC CONTAINERANDA  #077753","SUPPL-14","CIPROFLOXACIN","HOSPIRA","Labeling","Approval"
"05/05/2016","SIMVASTATINANDA  #078034","SUPPL-10","SIMVASTATIN","BIOCON PHARMA","Labeling","Approval"
"05/05/2016","FLUOXETINE HYDROCHLORIDEANDA  #078045","SUPPL-8","FLUOXETINE HYDROCHLORIDE","MYLAN","Labeling","Approval"
"05/05/2016","LEVOFLOXACINANDA  #078282","SUPPL-1","LEVOFLOXACIN","RUBICON","Labeling","Approval"
"05/05/2016","FENOFIBRATEANDA  #205118","ORIG-1","FENOFIBRATE","AUROBINDO PHARMA LTD","","Approval"
