"Approval Date","Drug Name","Submission","Active Ingredients","Company","Submission Classification *","Submission Status"
"06/01/2017","SAMSCANDA   #022275","SUPPL-15","TOLVAPTAN","OTSUKA","Labeling","Approval"
"06/01/2017","CEFPROZILANDA  #065327","SUPPL-1","CEFPROZIL","APOTEX INC","Labeling","Approval"
"06/01/2017","CHLORDIAZEPOXIDE AND AMITRIPTYLINE HYDROCHLORIDEANDA  #070765","SUPPL-23","AMITRIPTYLINE HYDROCHLORIDE; CHLORDIAZEPOXIDE","FRONTIDA BIOPHARM","Labeling","Approval"
"06/01/2017","CHLORDIAZEPOXIDE AND AMITRIPTYLINE HYDROCHLORIDEANDA  #070766","SUPPL-19","AMITRIPTYLINE HYDROCHLORIDE; CHLORDIAZEPOXIDE","FRONTIDA BIOPHARM","Labeling","Approval"
"06/01/2017","BUTALBITAL, ACETAMINOPHEN, CAFFEINE AND CODEINE PHOSPHATEANDA  #075618","SUPPL-25","ACETAMINOPHEN; BUTALBITAL; CAFFEINE; CODEINE PHOSPHATE","HIKMA INTL PHARMS","Labeling","Approval"
"06/01/2017","FEXOFENADINE HYDROCHLORIDE AND PSEUDOEPHEDRINE HYDROCHLORIDEANDA  #076236","SUPPL-8","FEXOFENADINE HYDROCHLORIDE; PSEUDOEPHEDRINE HYDROCHLORIDE","BARR","Manufacturing (CMC)","Tentative Approval"
"06/01/2017","OXYCODONE HYDROCHLORIDEANDA  #090895","SUPPL-8","OXYCODONE HYDROCHLORIDE","EPIC PHARMA LLC","Labeling","Approval"
"06/01/2017","OXYCODONE HYDROCHLORIDEANDA  #091313","SUPPL-5","OXYCODONE HYDROCHLORIDE","MAYNE PHARMA INC","Labeling","Approval"
"06/01/2017","HYDROCODONE BITARTRATE AND ACETAMINOPHENANDA  #201013","SUPPL-7","ACETAMINOPHEN; HYDROCODONE BITARTRATE","AUROLIFE PHARMA LLC","Labeling","Approval"
"06/01/2017","LANSOPRAZOLEANDA  #202176","SUPPL-3","LANSOPRAZOLE","WOCKHARDT USA","Labeling","Approval"
"06/01/2017","LANSOPRAZOLEANDA  #202176","SUPPL-6","LANSOPRAZOLE","WOCKHARDT USA","Labeling","Approval"
"06/01/2017","MIRTAZAPINEANDA  #205798","ORIG-1","MIRTAZAPINE","ZYDUS PHARMS","","Approval"
"06/01/2017","LEVOFLOXACINANDA  #205968","ORIG-1","LEVOFLOXACIN","ZYDUS PHARMS","","Approval"
"06/02/2017","NADOLOLANDA  #208832","ORIG-1","NADOLOL","AMNEAL PHARMS CO","","Approval"
"06/05/2017","MESALAMINEANDA  #091640","ORIG-1","MESALAMINE","ZYDUS PHARMS","","Approval"
"06/05/2017","NPLATEBLA   #125268","SUPPL-160","ROMIPLOSTIM","AMGEN","","Approval"
"06/05/2017","MIDAZOLAM HYDROCHLORIDE PRESERVATIVE FREEANDA  #203460","SUPPL-5","MIDAZOLAM HYDROCHLORIDE","FRESENIUS KABI USA","Labeling","Approval"
"06/05/2017","MIDAZOLAM HYDROCHLORIDE PRESERVATIVE FREEANDA  #203460","SUPPL-6","MIDAZOLAM HYDROCHLORIDE","FRESENIUS KABI USA","Labeling","Approval"
"06/05/2017","CYANOCOBALAMINANDA  #204829","ORIG-1","CYANOCOBALAMIN","MYLAN LABS LTD","","Approval"
"06/05/2017","LITHIUM CARBONATEANDA  #205663","ORIG-1","LITHIUM CARBONATE","UNIQUE PHARM LABS","","Approval"
"06/05/2017","ENTACAPONEANDA  #207210","ORIG-1","ENTACAPONE","MACLEODS PHARMS LTD","","Approval"
"06/05/2017","ARISTADANDA   #207533","SUPPL-4","ARIPIPRAZOLE LAUROXIL","ALKERMES INC","Efficacy","Approval"
"06/05/2017","BUTALBITAL AND ACETAMINOPHENANDA  #207635","ORIG-1","ACETAMINOPHEN; BUTALBITAL","ALVOGEN","","Approval"
"06/05/2017","DESOGESTREL AND ETHINYL ESTRADIOLANDA  #209170","ORIG-1","DESOGESTREL; ETHINYL ESTRADIOL","NAARI PTE LTD","","Approval"
"06/06/2017","HUMALOGBLA   #020563","SUPPL-176","INSULIN LISPRO RECOMBINANT","LILLY","","Approval"
"06/06/2017","HUMALOG KWIKPENBLA   #020563","SUPPL-176","INSULIN LISPRO RECOMBINANT","LILLY","","Approval"
"06/06/2017","HUMALOG PENBLA   #020563","SUPPL-176","INSULIN LISPRO RECOMBINANT","LILLY","","Approval"
"06/06/2017","HUMALOG TEMPO PENBLA   #020563","SUPPL-176","INSULIN LISPRO RECOMBINANT","LILLY","","Approval"
"06/06/2017","LEFLUNOMIDEANDA  #077087","SUPPL-13","LEFLUNOMIDE","FOSUN PHARMA","Labeling","Approval"
"06/06/2017","HUMALOG KWIKPENBLA   #205747","SUPPL-10","INSULIN LISPRO RECOMBINANT","ELI LILLY AND CO","","Approval"
"06/06/2017","GLEOLANNDA   #208630","ORIG-1","AMINOLEVULINIC ACID HYDROCHLORIDE","NXDC","Type 3 - New Dosage Form","Approval"
"06/07/2017","NORVIRNDA   #020659","SUPPL-67","RITONAVIR","ABBVIE","Labeling","Approval"
"06/07/2017","NORVIRNDA   #022417","SUPPL-19","RITONAVIR","ABBVIE","Labeling","Approval"
"06/07/2017","DUEXISNDA   #022519","SUPPL-11","FAMOTIDINE; IBUPROFEN","HORIZON","Labeling","Approval"
"06/07/2017","ORENITRAMNDA   #203496","SUPPL-7","TREPROSTINIL DIOLAMINE","UNITED THERAP","Labeling","Approval"
"06/07/2017","BEPOTASTINE BESILATEANDA  #206080","ORIG-1","BEPOTASTINE BESILATE","SANDOZ INC","","Tentative Approval"
"06/07/2017","AMANTADINE HYDROCHLORIDEANDA  #209047","ORIG-1","AMANTADINE HYDROCHLORIDE","STRIDES PHARMA","","Approval"
"06/07/2017","NORVIRNDA   #209512","ORIG-1","RITONAVIR","ABBVIE INC","Type 3 - New Dosage Form","Approval"
"06/08/2017","LO/OVRAL-28NDA   #017802","SUPPL-29","ETHINYL ESTRADIOL; NORGESTREL","WYETH PHARMS","Labeling","Approval"
"06/08/2017","MIRENANDA   #021225","SUPPL-38","LEVONORGESTREL","BAYER HLTHCARE","Efficacy","Approval"
"06/08/2017","TRUVADANDA   #021752","SUPPL-52","EMTRICITABINE; TENOFOVIR DISOPROXIL FUMARATE","GILEAD","REMS","Approval"
"06/08/2017","CLONIDINE HYDROCHLORIDEANDA  #071785","SUPPL-19","CLONIDINE HYDROCHLORIDE","CHARTWELL MOLECULES","Labeling","Approval"
"06/08/2017","GABAPENTINANDA  #076403","SUPPL-2","GABAPENTIN","ACELLA PHARMS LLC","Labeling","Approval"
"06/08/2017","SCANDONEST PLAINANDA  #088387","SUPPL-35","MEPIVACAINE HYDROCHLORIDE","DEPROCO","Manufacturing (CMC)","Approval"
"06/08/2017","IRBESARTAN AND HYDROCHLOROTHIAZIDEANDA  #090351","ORIG-2","HYDROCHLOROTHIAZIDE; IRBESARTAN","HIKMA","","Approval"
"06/08/2017","EMTRICITABINE AND TENOFOVIR DISOPROXIL FUMARATEANDA  #090894","ORIG-1","EMTRICITABINE; TENOFOVIR DISOPROXIL FUMARATE","TEVA PHARMS USA","","Approval"
"06/08/2017","DILTIAZEM HYDROCHLORIDEANDA  #203023","ORIG-1","DILTIAZEM HYDROCHLORIDE","SUN PHARM","","Approval"
"06/08/2017","NYSTATINANDA  #208581","ORIG-1","NYSTATIN","ZYDUS PHARMS","","Approval"
"06/08/2017","CIGENSA NORETHINDRONE ACETATE;ETHINYL ESTRADIOL; ETHINYL ESTRADIOL;FERROUS FUMARATEANDA  #209014","ORIG-1","CIGENSA NORETHINDRONE ACETATE;ETHINYL ESTRADIOL; ETHINYL ESTRADIOL;FERROUS FUMARATE","AUROBINDO PHARMA LTD","","Tentative Approval"
