"Approval Date","Drug Name","Submission","Active Ingredients","Company","Submission Classification *","Submission Status"
"11/01/2017","DELESTROGENNDA   #009402","SUPPL-52","ESTRADIOL VALERATE","PAR STERILE PRODUCTS","Labeling","Approval"
"11/01/2017","PREMARINNDA   #010402","SUPPL-68","ESTROGENS, CONJUGATED","WYETH PHARMS","Labeling","Approval"
"11/01/2017","ESTRADERMNDA   #019081","SUPPL-43","ESTRADIOL","NOVARTIS","Labeling","Approval"
"11/01/2017","PREMARINNDA   #020216","SUPPL-83","ESTROGENS, CONJUGATED","WYETH PHARMS","Labeling","Approval"
"11/01/2017","VIVELLENDA   #020323","SUPPL-36","ESTRADIOL","NOVARTIS","Labeling","Approval"
"11/01/2017","CLIMARANDA   #020375","SUPPL-34","ESTRADIOL","BAYER HLTHCARE","Labeling","Approval"
"11/01/2017","CLIMARANDA   #020375","SUPPL-35","ESTRADIOL","BAYER HLTHCARE","Labeling","Approval"
"11/01/2017","MENOSTARNDA   #020375","SUPPL-34","ESTRADIOL","BAYER HLTHCARE","Labeling","Approval"
"11/01/2017","MENOSTARNDA   #020375","SUPPL-35","ESTRADIOL","BAYER HLTHCARE","Labeling","Approval"
"11/01/2017","ESTRINGNDA   #020472","SUPPL-16","ESTRADIOL","PFIZER","Labeling","Approval"
"11/01/2017","CASODEXNDA   #020498","SUPPL-28","BICALUTAMIDE","ANI PHARMS","Labeling","Approval"
"11/01/2017","PREMPHASE 14/14NDA   #020527","SUPPL-65","ESTROGENS, CONJUGATED; MEDROXYPROGESTERONE ACETATE","WYETH PHARMS","Labeling","Approval"
"11/01/2017","PREMPRONDA   #020527","SUPPL-65","ESTROGENS, CONJUGATED; MEDROXYPROGESTERONE ACETATE","WYETH PHARMS","Labeling","Approval"
"11/01/2017","ESTRADIOLNDA   #020538","SUPPL-35","ESTRADIOL","NOVARTIS","Labeling","Approval"
"11/01/2017","VIVELLE-DOTNDA   #020538","SUPPL-35","ESTRADIOL","NOVARTIS","Labeling","Approval"
"11/01/2017","ALORANDA   #020655","SUPPL-20","ESTRADIOL","ALLERGAN","Labeling","Approval"
"11/01/2017","COMBIPATCHNDA   #020870","SUPPL-23","ESTRADIOL; NORETHINDRONE ACETATE","NOVEN PHARMS INC","Labeling","Approval"
"11/01/2017","ACTIVELLANDA   #020907","SUPPL-19","ESTRADIOL; NORETHINDRONE ACETATE","AMNEAL","Labeling","Approval"
"11/01/2017","VAGIFEMNDA   #020908","SUPPL-25","ESTRADIOL","NOVO NORDISK INC","Labeling","Approval"
"11/01/2017","CENESTINNDA   #020992","SUPPL-37","ESTROGENS, CONJUGATED SYNTHETIC A","ASPEN","Labeling","Approval"
"11/01/2017","PREFESTNDA   #021040","SUPPL-13","ESTRADIOL; NORGESTIMATE","TEVA WOMENS","Labeling","Approval"
"11/01/2017","FEMHRTNDA   #021065","SUPPL-24","ETHINYL ESTRADIOL; NORETHINDRONE ACETATE","APIL","Labeling","Approval"
"11/01/2017","ATROPINE SULFATENDA   #021146","SUPPL-19","ATROPINE SULFATE","HOSPIRA","Labeling","Approval"
"11/01/2017","ESTROGELNDA   #021166","SUPPL-15","ESTRADIOL","ASCEND THERAPS US","Labeling","Approval"
"11/01/2017","CLIMARA PRONDA   #021258","SUPPL-11","ESTRADIOL; LEVONORGESTREL","BAYER HLTHCARE","Labeling","Approval"
"11/01/2017","ANGELIQNDA   #021355","SUPPL-8","DROSPIRENONE; ESTRADIOL","BAYER HLTHCARE","Labeling","Approval"
"11/01/2017","FEMRINGNDA   #021367","SUPPL-16","ESTRADIOL ACETATE","MILLICENT","Labeling","Approval"
"11/01/2017","ESTRASORBNDA   #021371","SUPPL-8","ESTRADIOL HEMIHYDRATE","EXELTIS USA INC","Labeling","Approval"
"11/01/2017","ENJUVIANDA   #021443","SUPPL-10","ESTROGENS, CONJUGATED SYNTHETIC B","ASPEN","Labeling","Approval"
"11/01/2017","FEMTRACENDA   #021633","SUPPL-6","ESTRADIOL ACETATE","APIL","Labeling","Approval"
"11/01/2017","ELESTRINNDA   #021813","SUPPL-6","ESTRADIOL","MYLAN SPECIALITY LP","Labeling","Approval"
"11/01/2017","EVAMISTNDA   #022014","SUPPL-13","ESTRADIOL","PADAGIS US","Labeling","Approval"
"11/01/2017","DIVIGELNDA   #022038","SUPPL-3","ESTRADIOL","VERTICAL PHARMS LLC","Labeling","Approval"
"11/01/2017","DUAVEENDA   #022247","SUPPL-4","BAZEDOXIFENE ACETATE; ESTROGENS, CONJUGATED","WYETH PHARMS","Labeling","Approval"
"11/01/2017","JALYNNDA   #022460","SUPPL-7","DUTASTERIDE; TAMSULOSIN HYDROCHLORIDE","WOODWARD","Labeling","Approval"
"11/01/2017","JALYNNDA   #022460","SUPPL-8","DUTASTERIDE; TAMSULOSIN HYDROCHLORIDE","WOODWARD","Labeling","Approval"
"11/01/2017","MINIVELLENDA   #203752","SUPPL-9","ESTRADIOL","NOVEN","Labeling","Approval"
"11/01/2017","ZINBRYTABLA   #761029","SUPPL-5","DACLIZUMAB","BIOGEN","","Approval"
"11/02/2017","PARICALCITOLANDA  #203897","ORIG-1","PARICALCITOL","MYLAN LABS LTD","","Approval"
"11/02/2017","ADENOSINEANDA  #205331","ORIG-1","ADENOSINE","EUGIA PHARMA","","Approval"
"11/02/2017","DICLOFENAC SODIUMANDA  #207238","ORIG-1","DICLOFENAC SODIUM","ACTAVIS LABS UT INC","","Tentative Approval"
"11/02/2017","AMLODIPINE AND OLMESARTAN MEDOXOMILANDA  #207435","ORIG-1","AMLODIPINE BESYLATE; OLMESARTAN MEDOXOMIL","MICRO LABS","","Approval"
"11/02/2017","VYZULTANDA   #207795","ORIG-1","LATANOPROSTENE BUNOD","BAUSCH AND LOMB","Type 1 - New Molecular Entity","Approval"
"11/02/2017","OCREVUSBLA   #761053","SUPPL-8","OCRELIZUMAB","GENENTECH INC","","Approval"
"11/03/2017","MAXIDEXNDA   #013422","SUPPL-45","DEXAMETHASONE","NOVARTIS","Labeling","Approval"
"11/03/2017","VIMPATNDA   #022253","SUPPL-39","LACOSAMIDE","UCB INC","Efficacy","Approval"
"11/03/2017","VIMPATNDA   #022254","SUPPL-30","LACOSAMIDE","UCB INC","Efficacy","Approval"
"11/03/2017","VIMPATNDA   #022255","SUPPL-22","LACOSAMIDE","UCB INC","Efficacy","Approval"
"11/03/2017","KETOCONAZOLEANDA  #075362","SUPPL-12","KETOCONAZOLE","HERITAGE PHARMA","Labeling","Approval"
"11/03/2017","ESTRADIOL AND NORGESTIMATEANDA  #076812","SUPPL-14","ESTRADIOL; NORGESTIMATE","BARR","Labeling","Approval"
"11/03/2017","ESTRONEANDA  #085239","SUPPL-61","ESTRONE","DR REDDYS","Labeling","Approval"
"11/03/2017","FLECAINIDE ACETATEANDA  #202821","ORIG-1","FLECAINIDE ACETATE","AUROBINDO PHARMA LTD","","Approval"
"11/03/2017","DOXORUBICIN HYDROCHLORIDE (LIPOSOMAL)ANDA  #203263","SUPPL-14","DOXORUBICIN HYDROCHLORIDE","SUN PHARM","Labeling","Approval"
"11/03/2017","BUPROPION HYDROCHLORIDEANDA  #205794","SUPPL-3","BUPROPION HYDROCHLORIDE","SCIEGEN PHARMS INC","Labeling","Approval"
"11/03/2017","LINAGLIPTINANDA  #208420","ORIG-1","LINAGLIPTIN","ACCORD HLTHCARE INC","","Tentative Approval"
"11/03/2017","LINAGLIPTINANDA  #208423","ORIG-1","LINAGLIPTIN","INVAGEN PHARMS","","Tentative Approval"
"11/03/2017","LINAGLIPTINANDA  #208431","ORIG-1","LINAGLIPTIN","MYLAN PHARMS INC","","Tentative Approval"
"11/03/2017","DOXORUBICIN HYDROCHLORIDE (LIPOSOMAL)ANDA  #208657","SUPPL-1","DOXORUBICIN HYDROCHLORIDE","DR REDDYS LABS LTD","Labeling","Approval"
"11/03/2017","BUPROPION HYDROCHLORIDEANDA  #210081","ORIG-1","BUPROPION HYDROCHLORIDE","TWI PHARMS","","Approval"
"11/06/2017","DAYTRANANDA   #021514","SUPPL-28","METHYLPHENIDATE","NOVEN PHARMS INC","Labeling","Approval"
"11/06/2017","GONAL-F RFF REDI-JECTBLA   #021684","SUPPL-38","FOLLITROPIN ALFA/BETA","EMD SERONO","","Approval"
"11/06/2017","AZELASTINE HYDROCHLORIDEANDA  #090176","SUPPL-1","AZELASTINE HYDROCHLORIDE","BRECKENRIDGE","Manufacturing (CMC)","Approval"
"11/06/2017","GILOTRIFNDA   #201292","SUPPL-12","AFATINIB DIMALEATE","BOEHRINGER INGELHEIM","Labeling","Approval"
"11/06/2017","ZELBORAFNDA   #202429","SUPPL-16","VEMURAFENIB","HOFFMANN LA ROCHE","Efficacy","Approval"
"11/06/2017","LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDEANDA  #204901","ORIG-1","HYDROCHLOROTHIAZIDE; LOSARTAN POTASSIUM","PRINSTON INC","","Approval"
"11/06/2017","BORTEZOMIBNDA   #205004","ORIG-1","BORTEZOMIB","FRESENIUS KABI USA","Type 5 - New Formulation or New Manufacturer","Approval"
"11/06/2017","CLOFARABINEANDA  #205375","ORIG-1","CLOFARABINE","DR REDDYS LABS LTD","","Approval"
"11/06/2017","EPTIFIBATIDEANDA  #205557","ORIG-1","EPTIFIBATIDE","ACCORD HLTHCARE","","Approval"
"11/06/2017","AURYXIANDA   #205874","SUPPL-13","FERRIC CITRATE","KERYX BIOPHARMS","Efficacy","Approval"
"11/06/2017","XTAMPZA ERNDA   #208090","SUPPL-4","OXYCODONE","COLLEGIUM PHARM INC","Efficacy","Approval"
"11/06/2017","ALECENSANDA   #208434","SUPPL-3","ALECTINIB HYDROCHLORIDE","HOFFMANN-LA ROCHE","Efficacy","Approval"
"11/06/2017","CLOFARABINEANDA  #208857","ORIG-1","CLOFARABINE","AMNEAL","","Approval"
"11/06/2017","CLOFARABINEANDA  #208860","ORIG-1","CLOFARABINE","MYLAN LABS LTD","","Approval"
"11/06/2017","TELMISARTAN AND HYDROCHLOROTHIAZIDEANDA  #209028","ORIG-1","HYDROCHLOROTHIAZIDE; TELMISARTAN","PRINSTON INC","","Approval"
"11/07/2017","PREMARINNDA   #004782","SUPPL-176","ESTROGENS, CONJUGATED","WYETH PHARMS","Labeling","Approval"
"11/07/2017","KETAMINE HYDROCHLORIDEANDA  #074549","SUPPL-18","KETAMINE HYDROCHLORIDE","HOSPIRA","Labeling","Approval"
"11/07/2017","CLOZAPINEANDA  #075713","SUPPL-15","CLOZAPINE","SUN PHARM INDS INC","Labeling","Approval"
"11/07/2017","HYDROMORPHONE HYDROCHLORIDEANDA  #202144","SUPPL-14","HYDROMORPHONE HYDROCHLORIDE","ACTAVIS LABS FL INC","Labeling","Approval"
"11/07/2017","SODIUM NITROPRUSSIDEANDA  #209493","ORIG-1","SODIUM NITROPRUSSIDE","AMNEAL","","Approval"
"11/08/2017","ANCOBONNDA   #017001","SUPPL-32","FLUCYTOSINE","BAUSCH","Labeling","Approval"
"11/08/2017","TAMBOCORNDA   #018830","SUPPL-24","FLECAINIDE ACETATE","ALVOGEN","Manufacturing (CMC)","Approval"
"11/08/2017","VIBERZINDA   #206940","SUPPL-5","ELUXADOLINE","ALLERGAN HOLDINGS","Labeling","Approval"
"11/08/2017","IBUPROFENANDA  #208865","ORIG-1","IBUPROFEN","AUROBINDO PHARMA LTD","","Approval"
"11/08/2017","PREVYMISNDA   #209939","ORIG-1","LETERMOVIR","MERCK SHARP DOHME","Type 1 - New Molecular Entity","Approval"
"11/08/2017","PREVYMISNDA   #209940","ORIG-1","LETERMOVIR","MERCK SHARP DOHME","Type 3 - New Dosage Form","Approval"
"11/09/2017","M.V.I.-12 ADULTNDA   #008809","SUPPL-73","ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A; VITAMIN E","HOSPIRA","Labeling","Approval"
"11/09/2017","M.V.I.-12 ADULTNDA   #008809","SUPPL-73","ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN; THIAMINE HYDROCHLORIDE; VITAMIN A; VITAMIN E","HOSPIRA","Labeling","Approval"
"11/09/2017","M.V.I. PEDIATRICNDA   #018920","SUPPL-36","ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PHYTONADIONE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A; VITAMIN E","HOSPIRA","Labeling","Approval"
"11/09/2017","OMNIPAQUE 240NDA   #020608","SUPPL-38","IOHEXOL","GE HEALTHCARE","Labeling","Approval"
"11/09/2017","OMNIPAQUE 300NDA   #020608","SUPPL-38","IOHEXOL","GE HEALTHCARE","Labeling","Approval"
"11/09/2017","OMNIPAQUE 350NDA   #020608","SUPPL-38","IOHEXOL","GE HEALTHCARE","Labeling","Approval"
